exchange,cases,avg_profit,wins
Binance,16,0.0,0
Upbit,13,2.09,6
Unknown,13,0.0,0
Bithumb,10,9.99,4
• 옆상장이었으며 과거에도 운전한 기록이 있는 LPT의 또 다시 드라이빙쇼 | • 입금액은 평이하였으나 상장투심이 바닥으로 1분 거래량 100억대가,1,0.0,0
• 시가총액이 낮더라도 흥따리 여부에는 | • 물량 무한인 현선갭 있는 DEX 최고 이더체인 초고시총 TGE상장 | • DEX에 유동성이 매우 많아 입금액이 매우 많이 들어와 망따리 확률이,1,0.0,0
"• 물량이 적고 후따리가 힘든, 현선갭 있는 바이비트 최고 이더체인 | • 거래소 핫월렛 물량이 적어 후따리가 힘든 상황이었지만 기존",1,0.0,0
"• 물량 적은 현선갭 심한 DEX 최고 솔라나체인 TGE상장 | • 거래량은 100억대로 평이한 상황에서, ❶한국인 대상 에어드랍 물량 적음",1,0.0,0
• 물량 적은 현선갭 높은 DEX최고 이더체인 중시총 TGE상장 | • 에어드랍 물량이 적으면서 실질유동성이 많지 않았고 입금액이 적은데,1,0.0,0
• 물량 무한인 현선갭 있는 DEX 최고 이더체인 초고시총 TGE상장 | • DEX에 유동성이 매우 많아 입금액이 매우 많이 들어와 망따리 확률이,1,0.0,0
"• TGE 상장으로 진행되었으며 예상치 못한 빠른 거래개시가 특징이었다 | • 거래량은 낮은 수준이지만 입금액이 매우 적으면서 펌핑이 발생, 대흥따리",1,0.0,0
"? TGE ??, ?? ???? ?? | ? ??? 400?, 5? ??? 1800? | ? ?? ? ??? ?? ??",1,0.0,0
"? TGE ?? | ? ?? 3,500?, ?? 300? ?? | ? ???? ?? ?? DEX ?? | ? OTC/?? ??? ??",1,0.0,0
"? ???/?? TGE ?? | ? MOVE ?? ??, ??? 5? 5000? | ? ?? ?? 38% ??",1,0.0,0
? ??? ?? | ? ???? ??/?? ?? | ? ?? 200%+ ?? | ? ??? ?? ??,1,0.0,0
? ??? ?? | ? ?? ???/???? ?? | ? ?? ??? ?? ??/??? ?? | ? ?? 300%+ ??,1,0.0,0
"? 24? 1? TGE ?? | ? ?? 10??, ?? 5,000? ?? | ? TGE 30? ?? ??, ???? ???? ??? ?? | ? DEX ??? ??? ??",1,0.0,0
